description;MERO;ZÜLÝ;GÝZO;Toplu
Ürünleri buradan inceleyebilirsiniz: https://app.hps.im/d7ct/c6eaf952;2;2;2;2
Atopik ciltlere uygun etkili ürünler videosu gelir mi;2;2;2;2
Merve essence fondotenin 30 numarasý yok hiç bir yerde nolur bir link falan ver almak istiyorum;0;0;0;0
Link acilmiyor bir dahadaki videoda koyarmisin;0;0;0;0
Linke girilmiyor;0;0;0;0
Ben silici onerileri gelsin;2;2;2;2
Merve abla gençten kastýn kaç yaþ arasý?;2;2;2;2
Merve abla okul için yapýlacak hafif makyaj videosu çeker misin?;2;2;2;2
1yil önceki 25 TL olan allik suan 95 lira;2;0;2;2
1 yýl önce paylaþýlmýþ bu videodaki ürünleri alamaz olduk... Ýnþallah ekonomi düzelir de ne yiyebiliriz diye düþünmeyi geçip artýk cilt bakýmý yapabiliriz. ??;0;0;0;0
Üniversite okurken de ilk makyaj çantamý senle hazýrlamýþtým. Þimdi çalýþan bir kadýným hala seni izliyorum iyiki varsýn?;1;1;1;1
Ziaja toniði senin önerinle almýþtým. Bir yýldýr kullanýyorum. Çoook memnunum?;1;1;1;1
Yüzümün yað dengesini çok iyi hallediyor ve kesinlikle düzenli kullanýmda gözenek küçültüyor.;1;1;1;1
o ziaja tonik cildimi mahvetti kesinlikle önermiyorum;0;0;0;0
Cilt bakým ürünlerinin hepsini mi kullanmamýz gerekiyor yoksa biri yetiyor mu? Ýlk defa kullanacaðým;2;1;2;2
Bu ürünler gerçekten 3-4 ay önce gayet ucuzdu.. þuan bir daha baktým fiyatlarýna uçuyor fiyatlar gerçekten uçuyor...;0;0;2;0
Merve abla ergenler için sivilce ile ilgili bir video çeker misin;2;2;2;2
Bunu videodaki cilt bakým ürünlerini 13-14 yaþlardakilerde kullanabilir mi;2;2;2;2
13 14 yaþýndaysan sakýn yüzüne ürün uygulama;2;0;0;0
Bir insanýn yýllardýr hiçbir videoda mý dili sürçmez be.. Diksiyon kadýn ? dinledikçe dinleyesim geliyo;1;1;1;1
ziajanin urunlerini deneyebilir misin ? ozellikle genclwr icin cikarttiklari jeju serisini;2;2;2;2
Gerçekten güvenerek ve inanarak dinliyorum tüm ürünleri. Hado Laboyu hiç tereddüt etmeden gidip aldým????;1;1;1;1
Merve Ablaam bu videonun güncel halini çekebilir misinn? Malum fiyatlar 1 yýl sonra bir hayli deðiþti bende gerçekten iþe yarar ve farklý markalardan ürünleri denemek istiyorum;2;1;2;2
Bu mu uygun fiyat ? Olucem;0;0;0;0
"Lise 1 e gidiyorum ben bu ürünlerin kullanabileceði ""genç"" Kategorisine girer miyim??";2;1;2;2
Güzel olmamam olamayacaðim anlamina gelmez KÝLO VERÝCEM YOGA YAPÝCAM HERÞEYÝ YAPÝCAM VE ÝNSANLARÝN O LAFLARÝNÝ AÐÝZLARÝNA TEKRAR SOKUCAM;0;0;1;0
notlarýmýzý alalým ??;2;1;1;1
ablam cok guzelsin seni izlerken de nedenini bilmedigim sekilde cok mutlu oluyorum. sanýrým kücükken de seni izledigim icin eski cocukluk duygularýmý falan hatýrlatýyo bana ahahaha;1;1;1;1
Ziaja markasýnýn ayný zamanda 12 yaþ ve üzeri için olan ufak bi serisi var içinde tonik, peeling, maske ve fondöten var bakabilirsiniz.;1;1;2;1
Gencler icin kore bakim malzemeleriyle bir video gelir mi ^^:));2;1;2;2
Abla 11,12 ve 13 yaþ için ürünler önerirmisin? seni çok seviyorum ve çok samimisin????;1;1;1;1
14 yaþ icin uygunmu cild bakim ürünleri?;2;1;2;2
Evet gerçekten yararlý ve gerekli bir öneri vidyosu ellerinize saðlýk;1;1;1;1
Uygun fiyat dediði 670 liralýk krem, gerçekten uygunmuþ hatta o kadar uygun ki çevremdeki diðer fakir arkadaþlarima da aldirtacagim. Teþekkürler.;0;0;1;0
@~ELÝNA~ Ýrem Sancar Sen hiç kendi paraný kazanmadin deðil mi? Senin dediðin hesapla bile yaklaþýk 500 lira gibi bir sayý ortaya çýkýyor.;0;1;0;0
video 2 yýl önce çekilmiþ yanlýz zam gelmiþ olmasý çok normal deðilmi ozmn dolar 13 tl þimdi 18 zam geldi;1;1;2;1
Zjaja nýn toniði günlük kullanýma uygunmu asitli bir tonik diye biliyorum ama sadece gecelerimi kullanýyorsunuz cevap verirseniz sevinirim;2;1;2;2
"Ziaja bende sivilce çýkardý ;(";0;0;0;0
videoyu görünce cok sevinmistim su anki fiyatlarýný görünce beyaz sabuna geri kostum;0;0;0;0
ABÝ FÝYATLARA BAK DELÝRÝYORUM;0;0;0;0
Merve kanalýný kendim icin yararlý buluyorum. Kendime deðer verdigim zamanlarda yüzüme de deger verdigimi farkettim.Ve senin sayende kendim icin cok önemli bir sey farkettim.Bunlardan bi tanesi önceden ne kadar da bilinçsiz bir þekilde yüzüm icin rastegele urunler kullandýðým halbuki yüz tipi ne kadar da önemli imiþ.Ve benim cildim ayrica egzamaya yatgýn dudaklarým ise þu sýralar birbirine yapismaya basliyor ve soyuluyor doktoruma da sordugumda benim icin kaliteli urunler kullanmamý önerdi.Urun onerilerine baktýðýmda sen bunu yaparken içerigini tanitarak hangi yuze uygun oldugunu söylüyorsun keske basta ilk senin kanalina gelseymisim. Çünkü þu hatayi da yaptim doktorumu ve seni dinlemeden önce, her urun önerinisini dinleyip uyguluyordum ancak bu yanliþ mis.Sen sýrf reklam vermek icin tanýmýyorsun .Bunu bizi tebrik ettigin cumleden bile anladým. Seni ve kanalýný seviyorum ve artik sadece gercekten bu konuda uzman olan arastirma yapan ilgili olan kiþilerin önerilerini baz alacaðým. Tanýtýmlarýnda ki araþtýrmaný ve bizlere açýklamaný seviyorum, bu çok deðerli.;1;1;1;1
4.00 sn de olan zýaja nýn toniðini saban ve akþam mý ulgulayacaðým yoksa sadece sabah mý;2;1;2;2
@Reyyan E. anladým teþekkür edirmm;1;1;1;1
@my boss sabahta akþam da bir kaç fýs sýkabilrsin diye biliyorum kuzenimde vardý ve öyle yapýyordu çok sýkma ama 2 fýs fln yeter;2;1;2;2
Ben gratisten aldým markasý kullaným amacý ayrý ama görüntüsü ayný deðil ön tarafýnda ingilizceden haric baþka dilde de yazýyor dýþý farklý olduðu için bi sorun olur mu;2;1;2;2
Ben toniðin kullaným amacýný anlamadým. Videoda da üç tane tonik var. Aralarýndaki fark nedir acaba?;2;1;0;0
Linkte hada lopo nün toniðini sadece ben mi göremedimm;0;1;0;0
kurudan karmaya doðru bir cildim var ve akne için çay aðaçlý tonik kullanýlýr mý??;2;1;2;2
Çay aðacý yüzü kurutan biþe o yüzden sadece sivilce çýkan bölgelere sürebilirsin sivilceni 2 günde fln kurutur ben kullanýyorum çok memnunum ama tonik deðil normal aktarlarda olan çay aðacý yaðý;1;1;1;1
Nivea nemlendirici makyaj bazini sivilceli yuze surmek olarmi?;2;1;2;2
Bizim mükemmel ekonomimize dolayý yine Herþeyi fiyatlarý arttý deðiþti bu serinin yeni videosu gelse ne güzel olur;0;0;1;0
Abla hayat enerjimi yükseltiyorsun seni çok seviyorum iyi ki varsýn ????????;1;1;1;1
14 15 yaþ kullanabilirmi abla;2;1;2;2
La roche posay duo  der susarým;1;1;1;1
Biraz daha uygun fiyatlý ürünlerle ilgili bir video çekermisin;1;0;2;0
Abla genç derken 14 yaþ üstü için uyðunmudur?;2;1;2;2
Bu kadýnýn enerjisine bayýlýyorummmm 3;1;1;1;1
Abla bizde o ziaia nin kremi var;1;1;2;1
Ziaja tonik yaz aylarýnda kullanila bilirmi?;2;1;2;2
23 yaþýndayým hada loba tonugi kullanabilir miyim;2;1;2;2
bir tane de ben maskara önereyim golden rose un turuncu ambalajlý maskarasý aaþþýrý güzel yoðun sürüldüðü zaman kirpikleriniz kaþýnýza kadar geliyor.;1;1;1;1
13 14 yaþ için olurmu kulanmak hada labo essence tonik;2;1;2;2
þimdi hiçbiri uygun fiyatlý deðil;0;0;0;0
Merve abla bence çok bilgilendirici bir video olmuþ ayrýca ilk defa makyaj ürünleri alacaklar için harika bir video ellerinize saðlý seni seviyorum????;1;1;1;1
Beaulisin eyelinerýný 2 yýldýr kullanýyorum,bitmedi.Matlýðý ve siyahlýðý baya iyi.;1;1;1;1
agzýna saglýk alýncaklara eklendi;1;1;1;1
param yok :(;0;0;0;0
Slm merve haným ben sizi yeni keþfettim çok güzel bilgiler veriyorsunuz ben 52 yaþýmdayým cilt bakýmý yaptýrdým dermopen yaptýrdým ama þimdi cildim yaðlý nasýl bir nemlendirici önerirsiniz neler kullanmalýyým bana onerinerileriniz bekliyorum teþekkür ederim;1;1;1;1
makyajýnýza bayýldýmmm;1;1;1;1
